,Latitude,Longitude,Country,Date,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Daily tests,Cases,Deaths
0,41.15,20.17,Albania,2020-02-25,14,2.89,1.29,5353.2,2873457,38,14,8.0,,
1,41.15,20.17,Albania,2020-02-26,14,2.89,1.29,5353.2,2873457,38,14,5.0,,
2,41.15,20.17,Albania,2020-02-27,14,2.89,1.29,5353.2,2873457,38,14,4.0,,
3,41.15,20.17,Albania,2020-02-28,14,2.89,1.29,5353.2,2873457,38,14,1.0,,
4,41.15,20.17,Albania,2020-02-29,14,2.89,1.29,5353.2,2873457,38,14,8.0,,
5,41.15,20.17,Albania,2020-03-01,14,2.89,1.29,5353.2,2873457,38,14,3.0,,
6,41.15,20.17,Albania,2020-03-02,14,2.89,1.29,5353.2,2873457,38,14,2.0,,
7,41.15,20.17,Albania,2020-03-03,14,2.89,1.29,5353.2,2873457,38,14,5.0,,
8,41.15,20.17,Albania,2020-03-04,14,2.89,1.29,5353.2,2873457,38,14,6.0,,
9,41.15,20.17,Albania,2020-03-05,14,2.89,1.29,5353.2,2873457,38,14,8.0,,
10,41.15,20.17,Albania,2020-03-06,14,2.89,1.29,5353.2,2873457,38,14,3.0,,
11,41.15,20.17,Albania,2020-03-07,14,2.89,1.29,5353.2,2873457,38,14,5.0,,
12,41.15,20.17,Albania,2020-03-08,14,2.89,1.29,5353.2,2873457,38,14,1.0,,
13,41.15,20.17,Albania,2020-03-09,14,2.89,1.29,5353.2,2873457,38,14,18.0,2.0,
14,41.15,20.17,Albania,2020-03-10,14,2.89,1.29,5353.2,2873457,38,14,37.0,10.0,
15,41.15,20.17,Albania,2020-03-11,14,2.89,1.29,5353.2,2873457,38,14,43.0,12.0,1.0
16,41.15,20.17,Albania,2020-03-12,14,2.89,1.29,5353.2,2873457,38,14,141.0,23.0,1.0
17,41.15,20.17,Albania,2020-03-13,14,2.89,1.29,5353.2,2873457,38,14,159.0,33.0,1.0
18,41.15,20.17,Albania,2020-03-14,14,2.89,1.29,5353.2,2873457,38,14,48.0,38.0,1.0
19,41.15,20.17,Albania,2020-03-15,14,2.89,1.29,5353.2,2873457,38,14,27.0,42.0,1.0
20,41.15,20.17,Albania,2020-03-16,14,2.89,1.29,5353.2,2873457,38,14,31.0,51.0,1.0
21,41.15,20.17,Albania,2020-03-17,14,2.89,1.29,5353.2,2873457,38,14,42.0,55.0,1.0
22,41.15,20.17,Albania,2020-03-18,14,2.89,1.29,5353.2,2873457,38,14,60.0,59.0,2.0
23,41.15,20.17,Albania,2020-03-19,14,2.89,1.29,5353.2,2873457,38,14,32.0,64.0,2.0
24,41.15,20.17,Albania,2020-03-20,14,2.89,1.29,5353.2,2873457,38,14,35.0,70.0,2.0
25,41.15,20.17,Albania,2020-03-21,14,2.89,1.29,5353.2,2873457,38,14,46.0,76.0,2.0
26,41.15,20.17,Albania,2020-03-22,14,2.89,1.29,5353.2,2873457,38,14,33.0,89.0,2.0
27,41.15,20.17,Albania,2020-03-23,14,2.89,1.29,5353.2,2873457,38,14,,104.0,4.0
28,41.15,20.17,Albania,2020-03-24,14,2.89,1.29,5353.2,2873457,38,14,,123.0,5.0
29,41.15,20.17,Albania,2020-03-25,14,2.89,1.29,5353.2,2873457,38,14,111.0,146.0,5.0
30,41.15,20.17,Albania,2020-03-26,14,2.89,1.29,5353.2,2873457,38,14,103.0,174.0,6.0
31,41.15,20.17,Albania,2020-03-27,14,2.89,1.29,5353.2,2873457,38,14,102.0,186.0,8.0
32,41.15,20.17,Albania,2020-03-28,14,2.89,1.29,5353.2,2873457,38,14,79.0,197.0,10.0
33,41.15,20.17,Albania,2020-03-29,14,2.89,1.29,5353.2,2873457,38,14,111.0,212.0,10.0
34,41.15,20.17,Albania,2020-03-30,14,2.89,1.29,5353.2,2873457,38,14,90.0,223.0,11.0
35,41.15,20.17,Albania,2020-03-31,14,2.89,1.29,5353.2,2873457,38,14,145.0,243.0,15.0
36,41.15,20.17,Albania,2020-04-01,14,2.89,1.29,5353.2,2873457,38,14,152.0,259.0,15.0
